"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Score","Correspondance","Action","MeilleuresPistes"
"Santa - Popcorn salé.mp4","Popcorn salé","Santa","132","/karaoke/Santa%20-%20Popcorn%20sal%C3%A9.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Serge Gainsbourg - Elisa.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Serge Gainsbourg - Je suis venu te dire que je m'en vais.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Starmania - La complainte de la serveuse automate.mp4","La complainte de la serveuse automate","Starmania","135","/karaoke/Starmania%20-%20La%20complainte%20de%20la%20serveuse%20automate.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Starmania - Un garçon pas comme les autres.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"The Cranberries - Zombie.mp4","Zombie","Cranberries","30","/karaoke/The%20Cranberries%20-%20Zombie.mp4",,"96","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"The Fugees - Killing Me Softly.mp4","Killing me softly","Fugees","150","/karaoke/The%20Fugees%20-%20Killing%20Me%20Softly.mp4",,"96","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"The Police - Every Breath You Take.mp4","Every breath you take","Police","121","/karaoke/The%20Police%20-%20Every%20Breath%20You%20Take.mp4",,"96","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"The Pretenders - I'll Stand By You.mp4","I’ll stand by you","The Pretenders","141","/karaoke/The%20Pretenders%20-%20I'll%20Stand%20By%20You.mp4",,"100","A VERIFIER MANUELLEMENT","NE PAS ECRIRE","The Pretenders / I’ll stand by you (score 100) | Pretenders / I'll stand by you (score 96)"
"The Rolling Stones - Angie.mp4","Angie","Rolling Stone","130","/karaoke/The%20Rolling%20Stones%20-%20Angie.mp4",,"96","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Viktor Lazlo - Pleurer des rivières.mp4","Pleurer des rivieres","Vikto Lazzlo","145","/karaoke/Viktor%20Lazlo%20-%20Pleurer%20des%20rivi%C3%A8res.mp4",,"90","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Véronique Sanson & Vianney - Chanson sur ma drôle de vie.mp4","Drole de vie","Veronique Sanson","143","/karaoke/V%C3%A9ronique%20Sanson%20%26%20Vianney%20-%20Chanson%20sur%20ma%20dr%C3%B4le%20de%20vie.mp4",,"82","A VERIFIER MANUELLEMENT","NE PAS ECRIRE","Veronique Sanson / Drole de vie (score 82)"
"Zaho de Sagazan - La symphonie des éclairs.mp4","La symphonie des éclairs","Zaho De Zahagan","146","/karaoke/Zaho%20de%20Sagazan%20-%20La%20symphonie%20des%20%C3%A9clairs.mp4",,"90","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Édith Piaf - L'hymne à l'amour.mp4","L'hymne à l'amour","Piaf","120","/karaoke/%C3%89dith%20Piaf%20-%20L'hymne%20%C3%A0%20l'amour.mp4",,"96","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Édith Piaf - La Vie en rose.mp4","La vie en rose","Edith Piaf","39","/karaoke/%C3%89dith%20Piaf%20-%20La%20Vie%20en%20rose.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Édith Piaf - Non, je ne regrette rien.mp4","Je ne regrette rien","Edith Piaf","40","/karaoke/%C3%89dith%20Piaf%20-%20Non%2C%20je%20ne%20regrette%20rien.mp4",,"94","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"","Eteins la lumière","Axel Bauer","9","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Ma plus belle histoire d'amour c'est vous","Barbara","14","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Woman in love","Barbra Streisand","15","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","It's heartache","Bonnie Tyler","18","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","D'amour et d'amitié","Céline Dion","22","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Le jerk","Thierry Azard","142","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Le reste","Clara Luciani","26","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Amour toujours","Clara Luciani","28","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Mourir sur scene","Dalida","32","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Laisser moi danser","Dalida","33","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Je viens pas te parler d'amour","Daniel Guichard","35","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","La tendresse","Daniel Guichard","36","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Hélène","Dave","37","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Pas de boogie woogie","Eddie Mitchell","42","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Don't dream is over","Crowed House","31","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Can't help falling in love","Elvis Presley","45","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Besoin de vous","France Gall","50","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Calypso","France Gall","51","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Diego, libre dans sa tête","France Gall","56","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Évidemment","France Gall","57","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Si, maman si","France Gall","58","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Les gens bien élevés","France Gall","59","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Je l'aime à mourir","Francis Cabrel","60","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","I maschi","Gianna Nannini","63","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","The winner takes it all","Abba","5","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Imagine","John Lenon","82","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","hello","Stevie Wonder","137","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","On va s'aimer","Gilbert Montagné","64","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Viens danser","Gilbert Montagné","65","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Toujours envie de te revoir","Gilbert Montagné","66","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Sans elle","Gilbert Montagné","67","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","J'ai le blues de toi","Gilbert Montagné","68","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Y a trop d gens qui t'aiment","Hélène Ségara","69","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Tourner dans le vide","Indila","71","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","What t a feeling","Irene Cara","73","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Porque te vas","Jeanette","76","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
