"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Score","Correspondance","Action","Details"
"France Gall - Les Gens Bien Elevés.mp4","Les gens bien élevés","France Gall","59","/karaoke/France%20Gall%20-%20Les%20Gens%20Bien%20Elev%C3%A9s.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"France Gall - Musique.mp4","Musique","France Gall","54","/karaoke/France%20Gall%20-%20Musique.mp4","/karaoke/France%20Gall%20-%20Musique.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"France Gall - Résiste.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"France Gall - Si maman si.mp4","Si, maman si","France Gall","58","/karaoke/France%20Gall%20-%20Si%20maman%20si.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"France Gall - Viens je t'emmène.mp4","Viens, je t'emmène","France Gall","53","/karaoke/France%20Gall%20-%20Viens%20je%20t'emm%C3%A8ne.mp4","/karaoke/France%20Gall%20-%20Viens%20je%20t'emm%C3%A8ne.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Francis Cabrel - Je l'aime à mourir (1979) [BDFab karaoke].mp4","Je l'aime à mourir","Francis Cabrel","60","/karaoke/Francis%20Cabrel%20-%20Je%20l'aime%20%C3%A0%20mourir%20(1979)%20%5BBDFab%20karaoke%5D.mp4",,"89","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 82 / Artiste 100"
"Francis Cabrel - La dame de Haute-Savoie.mp4","La dame de haute savoie","Francis Cabrel","61","/karaoke/Francis%20Cabrel%20-%20La%20dame%20de%20Haute-Savoie.mp4","/karaoke/Francis%20Cabrel%20-%20La%20dame%20de%20Haute-Savoie.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Frank Sinatra - Everybody Loves Somebody.mp4","Everybody loves somebody","Frank Sinatra","46","/karaoke/Frank%20Sinatra%20-%20Everybody%20Loves%20Somebody.mp4","/karaoke/Frank%20Sinatra%20-%20Everybody%20Loves%20Somebody.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Frank Sinatra - New York, New York.mp4","New York, New York","Frank Sinatra","47","/karaoke/Frank%20Sinatra%20-%20New%20York%2C%20New%20York.mp4","/karaoke/Frank%20Sinatra%20-%20New%20York%2C%20New%20York.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Françoise Hardy - Comment te dire adieu.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Françoise Hardy - Fais-moi une place.mp4","Fais-moi une place","Françoise Hardy","62","/karaoke/Fran%C3%A7oise%20Hardy%20-%20Fais-moi%20une%20place.mp4","/karaoke/Fran%C3%A7oise%20Hardy%20-%20Fais-moi%20une%20place.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Gianna Nannini - I maschi.mp4","I maschi","Gianna Nannini","63","/karaoke/Gianna%20Nannini%20-%20I%20maschi.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"GILBERT MONTAGNE TOUJOURS ENVIE DE TE REVOIR Karaoké.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Gilbert Montagné  - Sous les sunlight des tropiques.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Gilbert Montagné - J’ai le blues de toi (1984) [BDFab karaoke].mp4","J'ai le blues de toi","Gilbert Montagné","68","/karaoke/Gilbert%20Montagn%C3%A9%20-%20J%E2%80%99ai%20le%20blues%20de%20toi%20(1984)%20%5BBDFab%20karaoke%5D.mp4",,"89","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 82 / Artiste 100"
"Gilbert Montagné - Les sunlights des tropiques.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Gilbert Montagné - Sans elle.mp4","Sans elle","Gilbert Montagné","67","/karaoke/Gilbert%20Montagn%C3%A9%20-%20Sans%20elle.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Henri Salvador - Jardin d'hiver.mp4","Jardin d'hiver","Henri Salvador","70","/karaoke/Henri%20Salvador%20-%20Jardin%20d'hiver.mp4","/karaoke/Henri%20Salvador%20-%20Jardin%20d'hiver.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Hélène-Roch Voisine.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Indila - Tourner Dans Le Vide - .mp4","Tourner dans le vide","Indila","71","/karaoke/Indila%20-%20Tourner%20Dans%20Le%20Vide%20-%20.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
