"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Correspondance","Action"
"","Killing me softly","Fugees","150","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Imagine","John Lenon","82","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","hello","Stevie Wonder","137","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","On va s'aimer","Gilbert Montagné","64","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Viens danser","Gilbert Montagné","65","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Toujours envie de te revoir","Gilbert Montagné","66","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Sans elle","Gilbert Montagné","67","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","J'ai le blues de toi","Gilbert Montagné","68","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Y a trop d gens qui t'aiment","Hélène Ségara","69","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Tourner dans le vide","Indila","71","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","What t a feeling","Irene Cara","73","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Porque te vas","Jeanette","76","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Siffler sur la colline","Joe Dassin","79","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Je te promets","Johny","81","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Somewhereonly we know","Keane","83","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Tout","Lara Fabian","86","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","si tu m'aimes","Lara Fabian","87","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Strani amore","Laura Pausini","88","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Belle ile en mer","Laurent Voulzy","89","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Le pouvoir des fleurs","Laurent Voulzy","90","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Je vole","Louane","94","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","What a wonderful world","Louis Amstrong","95","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Piensa en mi","Luz Casal","96","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Without you","Maria Carey","98","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Hijo della luna","Mecano","102","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Quelques mots d'amour","Veronique Sanson","105","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Les moulins de mon coeur","Michel Legrand","106","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","La poupée qui fait non","Michel Polnareff","107","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Place des grands hommes","Patrick Bruel","110","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Je t'aime","Patrick Bruel","111","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","One day i'll fly away","Moulin Rouge","112","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Je n'ai que mon âme","Natasha St Pier","113","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Le sud","Nino Ferrer","114","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Mon mec à moi","Patricia Kaas","115","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Quand jimmy dit","Patricia Kaas","117","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Elle voulait jouer cabaret","Patricia Kaas","118","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Mademoiselle chante le blues","Patricia Kaas","119","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Every breath you take","Police","121","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","I'll stand by you","Pretenders","122","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Love of my life","Queen","123","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Coup de soleil","Richard Cocciante","126","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","La  bamba","Richie Valens","127","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Sara perche ti amo","Ricchi e Poveri","128","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Hélène","Roch Voisine","129","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Angie","Rolling Stone","130","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Love is all","Roger Glover","131","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","La javanaise","Serge Gainsbourg","133","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Ziggy","Starmania","134","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
